clade_name	NCBI_tax_id	SRS149196	SRS149090	SRS148832	SRS144713	SRS144312	SRS143690	SRS143147	SRS142557	SRS097963	SRS097925	SRS077646	SRS077453	SRS077397	SRS077236	SRS076865	SRS076761	SRS075980	SRS075883	SRS075778	SRS058213	SRS054061	SRS053437	SRS052590	SRS051613	SRS050025	SRS046344	SRS020868	SRS020386	SRS020232	SRS019986	SRS019597	SRS019386	SRS019339	SRS019215	SRS018784	SRS018671	SRS018585	SRS018463	SRS018369	SRS018312	SRS017820	SRS017697	SRS017451	SRS017244	SRS017156	SRS017044	SRS016752	SRS016581	SRS016553	SRS016513	SRS016434	SRS016292	SRS016188	SRS016033	SRS015996	SRS015937	SRS015752	SRS015640	SRS015450	SRS015430	SRS015269	SRS015051	SRS014901	SRS014682	SRS014464	SRS013956	SRS013876	SRS013637	SRS013269	SRS013155	SRS012663	SRS012291	SRS011397	SRS011263	SRS011132
s__Lautropia_mirabilis	2|1224|28216|80840|119060|47670|47671	0.1733	0	0.44935	0.34646	8.7595	0.50697	0.06312	0	0	0.01798	0	0.93587	0	6.11568	0	0.58655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Neisseria_cinerea	2|1224|28216|206351|481|482|483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Neisseria_elongata	2|1224|28216|206351|481|482|495	0	0	0	0	1.50962	0	0	0	0	0	0	0.01693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Neisseria_flavescens	2|1224|28216|206351|481|482|484	0	0.88031	1.22336	13.99037	2.75436	1.89725	0.12379	0	26.9413	0	0	0.5448	0.61191	24.79692	0.38243	0	2.79492	0.0589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.3142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21386	0	0
s__Neisseria_macacae	2|1224|28216|206351|481|482|496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Neisseria_mucosa	2|1224|28216|206351|481|482|488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Neisseria_sicca	2|1224|28216|206351|481|482|490	0.19476	0	0	3.44233	0.68643	0.18191	0	0.21891	0	0	0	0.31117	0	2.81825	0	0	0	0	6.03884	0	0	0	0	0	0.26017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Neisseria_subflava	2|1224|28216|206351|481|482|28449	0	0	0	0	0	0	0.16627	0.31133	0	0	0	0	0.60572	0	0	0.25925	0.48399	0.05127	4.06579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Campylobacter_ureolyticus	2|1224|29547|213849|72294|194|827	0	0	0	0	0	0	0	0	0	0	1.13436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.46472	0	0	0	2.1378	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Helicobacter_pylori	2|1224|29547|213849|72293|209|210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
