clade_name	NCBI_tax_id	SRS149181	SRS149075	SRS148817	SRS148784	SRS148196	SRS148159	SRS147766	SRS147346	SRS146764	SRS145497	SRS144714	SRS144506	SRS144362	SRS144297	SRS143991	SRS143876	SRS143780	SRS143598	SRS143417	SRS143342	SRS143181	SRS143148	SRS143070	SRS142781	SRS142712	SRS142599	SRS142542	SRS142505	SRS142503	SRS140645	SRS140513	SRS140492	SRS105082	SRS104400	SRS104197	SRS103987	SRS101433	SRS101376	SRS100021	SRS098881	SRS098827	SRS098717	SRS098655	SRS098514	SRS097958	SRS097920	SRS097889	SRS078665	SRS078419	SRS078242	SRS077849	SRS077753	SRS077641	SRS077589	SRS077552	SRS077502	SRS077454	SRS077392	SRS077294	SRS077231	SRS077194	SRS077127	SRS076929	SRS076876	SRS076756	SRS075984	SRS075878	SRS075773	SRS075341	SRS075078	SRS074964	SRS074670	SRS064973	SRS063518	SRS063489	SRS058070	SRS056273	SRS055533	SRS054352	SRS053649	SRS053573	SRS053356	SRS050026	SRS049896	SRS049402	SRS045739	SRS045528	SRS043667	SRS024663	SRS021219	SRS021153	SRS020622	SRS017916	SRS016438	SRS016437	SRS013639	SRS013638	SRS013098	SRS012969	SRS012849
g__Alloprevotella	2|976|200643|171549|171552|1283313	0	0	0	0	0	0	0	0	0	0	0	0.00921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Paraprevotella	2|976|200643|171549|171552|577309	0	0	0	0	0	0.97704	0	0	3.7807	3.48325	0	0	0	0	0	0.75075	0	0	0	0	0.07102	0	0.65431	0	0	0	0	0	0	0	0	0	0.45936	0	0	0	0	4.83366	0	0	0	0	0	0	0	0	0	0.53085	0	0	0	0	3.14255	4.2121	0	0	0	0.78713	0.44925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.98245	6.64113	0	1.13071	1.82961	0.86838	0	0	0	0	0	0	0	0	0.24137	0	0	0	0	0	0	1.09216
g__Prevotella	2|976|200643|171549|171552|838	0.00822	0.01733	0	0.00319	0.00082	0	0	0	40.72306	0.00543	50.80693	14.65164	0.08986	67.33897	0.06086	36.638	0	0	0	0.05694	83.2381	0.00614	6.05239	0	0.00255	0.00989	0.00362	0.03542	0.00078	0.08645	0.03289	0.01687	47.01977	1.45875	0	50.98178	0.00179	0.01979	0.0236	0	0	0.15639	0.01192	0	20.05374	0.00559	0.0133	0.005	51.71496	0.00433	33.2809	0.00066	81.27808	4.99238	0	0	0	0.96036	1.15408	0.00394	36.47435	0.05479	0	0.00377	0.00834	0.01397	0.00932	0.0048	0.00231	0.00409	0.00387	0.00591	0.00403	0.00249	0.00169	0.00878	0.00659	0.01128	1.29513	0.00664	0.00583	9.41783	0.00965	68.76542	0.08809	0.00768	0.00266	68.24223	24.61456	0.0052	0.0063	0.00631	0.2059	0.00578	0.00219	6.93678	5.33719	13.42691	56.40455	18.28733
g__Alistipes	2|976|200643|171549|171550|239759	6.33226	14.85093	26.8303	10.0638	6.71674	9.70215	8.09196	8.07965	2.30595	10.58835	3.75071	27.31209	12.41405	9.27051	3.30052	9.51516	0	0.23764	32.69718	11.4786	1.45247	12.53276	0.82804	0	15.70435	15.73056	34.97718	11.40154	12.03561	0.0327	9.29736	15.93177	6.15001	21.67361	24.11095	6.519	9.40146	29.33235	3.62987	9.55912	9.16823	8.81856	16.62089	0.34382	6.7415	11.46062	0	16.57901	7.95739	15.58133	10.32284	55.75131	3.04759	7.99784	1.31894	1.13549	2.9994	11.57386	20.24881	15.32818	6.33792	16.99939	4.02598	0	16.79754	30.96609	16.09266	11.14101	31.75683	6.10002	2.60694	10.65838	0.02321	3.58705	3.55128	3.96916	22.8916	0.00027	9.55778	11.36893	4.38424	0.733	5.34846	1.34978	7.26423	5.59699	17.80192	0.30557	0.02081	6.27975	0.00032	8.54933	13.81461	0.98557	0.97441	18.34783	12.49665	40.26721	9.50682	21.9423
g__Parabacteroides	2|976|200643|171549|2005525|375288	3.85079	5.99613	5.62497	8.41184	3.1905	17.1686	0	6.95755	10.05954	7.3402	2.06831	10.2533	0.88583	2.44057	1.91043	9.00018	4.93827	0	0	4.05618	2.8012	10.81464	3.06028	0	7.31329	1.32274	4.32959	0	6.8867	0.03149	8.85183	6.78019	4.97269	4.56762	0	7.93388	8.53522	3.08566	5.35739	0	0	8.36504	8.98463	0	14.96318	6.90303	7.90572	1.51067	4.25155	4.80004	9.45687	3.78916	1.25597	7.26063	1.03501	0	4.11562	3.62721	2.06524	2.22826	1.70594	5.28089	3.8126	8.42722	0.66069	7.44125	5.61572	4.08188	10.7873	1.35815	3.88162	6.13275	5.94037	0	4.47982	23.04882	3.0794	0.16103	12.78664	7.68494	1.3787	8.09229	3.01414	3.57434	6.64672	13.46345	3.67125	1.31194	0.00141	2.67645	0.0012	5.55286	2.58224	5.55473	5.23466	1.58889	1.27224	9.65527	2.63444	1.47807
g__Tannerella	2|976|200643|171549|2005525|195950	0	0	0	0	0	0	0	0	0	0	0	0.01304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Capnocytophaga	2|976|117743|200644|49546|1016	0	0	0	0	0	0	0	0	0	0	0	0.00187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00212	0	0	0	0	0	0	0
g__Candidatus_Gastranaerophilales_unclassified	2|1798710||1906119||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01384	0	0	0	0	0	0	0
g__Gemella	2|1239|91061|1385||1378	0	0	0	0	0.03187	0	0	0	0.00374	0	0.00054	0	0	0	0	0	0	0	0	0	0	0	0	0.00092	0	0	0	0	0	0.0013	0	0.00055	0	0	0	0	0	0	0	0.00119	0	0	0	0	0.00293	0	0	0	0.00045	0	0.00143	0.00176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00098	0	0.00248	0	0	0	0	0	0.00376	0	0	0	0	0.00246	0	0	0	0	0	0.00944	0.00055	0	0.00041	0	0.00032	0	0
g__Staphylococcus	2|1239|91061|1385|90964|1279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06646	0	0	0	0	0	0	0
