BGC	cluster_0.2	cluster_0.8
1222	900	13
1223	397	110
1224	768	4
1225	900	13
1226	147	13
1227	1322	13
1228	122	13
1229	397	110
1230	479	29
1231	1166	4
1232	548	13
1233	2153	0
1234	98	13
1235	1322	13
1236	170	13
1237	2334	11
1238	404	29
1239	839	13
1240	122	13
1241	1322	13
1242	1349	4
1243	147	13
1244	170	13
1245	1322	13
1246	1294	29
1247	1349	4
1248	122	13
1249	900	13
1250	1568	110
1251	122	13
1252	147	13
1253	17	4
1254	1322	13
1255	839	13
1256	1349	4
1257	170	13
1258	1322	13
1259	397	110
1260	548	13
1261	122	13
1262	346	13
1263	170	13
1264	1414	4
1265	1294	29
1266	122	13
1267	2060	13
1268	1414	4
1269	170	13
1270	147	13
1271	1322	13
1272	397	110
1273	711	13
1274	1414	4
1275	1322	13
1276	397	110
1277	170	13
1278	129	4
1279	256	13
1280	2328	0
1281	548	13
1282	2347	11
1283	1870	29
1284	1746	10
1285	412	13
1286	2334	11
1287	346	13
1288	1166	4
1289	548	13
1290	382	29
1291	404	29
1292	98	13
1293	2334	11
1294	61	11
1295	170	13
1296	548	13
1297	122	13
1298	170	13
1299	1322	13
1300	17	4
1301	346	13
1302	711	13
1303	1913	110
1304	170	13
1305	17	4
1306	900	13
1307	147	13
1308	1322	13
1309	17	4
1310	122	13
1311	548	13
1312	548	13
1313	170	13
1314	346	13
1315	1349	4
1316	147	13
1317	346	13
1318	900	13
1319	122	13
1320	1349	4
1321	170	13
1322	397	110
1323	548	13
1324	1349	4
1325	1294	29
1326	170	13
1327	1322	13
1328	122	13
1329	1322	13
1330	122	13
1331	170	13
1332	1913	110
1333	1349	4
1334	548	13
1335	1322	13
1336	486	110
1337	170	13
1338	1349	4
1339	711	13
1340	122	13
1341	346	13
1342	170	13
1343	17	4
1344	1913	110
1345	256	13
1346	1349	4
1347	1322	13
1348	1913	110
1349	147	13
1350	122	13
1351	548	13
1352	768	4
1353	1322	13
1354	170	13
1355	1002	29
1356	122	13
1357	900	13
1358	1349	4
1359	1322	13
1360	1913	110
1361	170	13
1362	548	13
1363	98	13
1364	1322	13
1365	854	74
1366	147	13
1367	839	13
1368	1349	4
1369	122	13
1370	397	110
1371	2060	13
1372	548	13
1373	670	33
1374	63	4
1375	853	15
1376	1368	54
1377	548	13
1378	2060	13
1379	2060	13
1380	2060	13
1381	548	13
1382	423	33
1383	63	4
1384	548	13
1385	2060	13
1386	2060	13
1387	2060	13
1388	670	33
1389	63	4
1390	853	15
1391	1368	54
1392	548	13
1393	1131	13
1394	36	13
1395	1401	33
1396	63	4
1397	853	15
1398	1368	54
1399	548	13
1400	2060	13
1401	1131	13
1402	202	13
1403	2662	33
1404	276	11
1405	63	4
1406	853	15
1407	572	54
1408	2477	13
1409	2060	13
1410	548	13
1411	63	4
1412	853	15
1413	1368	54
1414	548	13
1415	2060	13
1416	2060	13
1417	548	13
1418	670	33
1419	276	11
1420	63	4
1421	1368	54
1422	548	13
1423	2477	13
1424	2060	13
